data_len,rt
235,2755.147168
735,11719.74175
1235,16981.67827
1735,34235.77383
2235,45608.88027
2735,48753.82344
3235,41749.8084
3735,32456.95098
4235,30594.63633
4735,25022.4833
5235,31055.6582
5735,29117.04082
6235,37096.78203
6735,35131.9584
7235,35763.62109
7735,34990.5334
8235,36002.10176
8735,36883.76016
9235,43454.25352
9735,33552.03242
10235,41075.06484
10735,47136.98086
11235,45388.97402
11735,36852.00527
12235,46002.04453
12735,47572.34375
13235,45606.45781
13735,56010.38477
14235,48001.99199
14735,51944.85449
15235,51334.90742
15735,47504.98711
16235,44004.19844
16735,74801.16094
17235,67526.36094
17735,57086.06816
18235,58584.52285
18735,60970.22109
19235,61448.20703
19735,58553.66895
20235,74041.16875
20735,82003.83926
21235,81924.78359
21735,94010.73379
22235,76150.38086
22735,72521.51738
23235,89064.77305
23735,89410.18242
24235,84625.17227
24735,78320.77617
25235,69556.09961
25735,79764.90117
26235,80360.48359
26735,68294.74492
27235,78214.46914
27735,58990.40234
28235,57205.98301
28735,60133.38086
29235,69775.53438
29735,79088.5916
30235,124802.073
30735,78360.93359
31235,88742.79961
31735,91211.95352
32235,72866.93379
32735,82093.52344
33235,90599.95586
33735,100965.0129
34235,88108.73555
34735,81272.10243
35235,89253.30703
35735,82095.45859
36235,68666.54297
36735,81800.68142
37235,97699.17148
37735,116457.4117
38235,101017.9352
38735,86260.33633
39235,91314.73906
39735,87371.2293
40235,90679.15039
40735,107571.1008
41235,89186.18672
41735,81377.19727
42235,85601.38984
42735,79604.20078
43235,99046.69492
43735,77998.56914
44235,93118.74922
44735,74913.71641
45235,74709.87852
45735,75715.99805
46235,91495.07539
46735,93760.77148
47235,91015.69961
47735,66287.42656
48235,71490.68906
48735,82327.21875
49235,97569.46563
49735,101742.7672
