data_len,ti
235, 15.395
735, 2.287
1235, 1.564
1735, 1.425
2235, 2.080
2735, 0.776
3235, 0.877
3735, 0.941
4235, 1.002
4735, 1.496
5235, 2.445
5735, 1.633
6235, 1.926
6735, 2.263
7235, 2.144
7735, 2.029
8235, 1.877
8735, 2.312
9235, 2.010
9735, 1.481
10235, 2.103
10735, 1.390
11235, 1.029
11735, 1.448
12235, 1.163
12735, 1.656
13235, 1.694
13735, 2.493
14235, 1.609
14735, 1.546
15235, 0.940
15735, 0.825
16235, 0.880
16735, 0.791
17235, 0.978
17735, 1.599
18235, 1.361
18735, 1.529
19235, 1.110
19735, 1.198
20235, 1.746
20735, 1.049
21235, 1.586
21735, 0.848
22235, 1.078
22735, 0.859
23235, 0.936
23735, 0.709
24235, 0.941
24735, 1.311
25235, 1.563
25735, 1.055
26235, 1.161
26735, 1.079
27235, 1.932
27735, 1.078
28235, 1.172
28735, 0.983
29235, 1.413
29735, 1.529
30235, 0.650
30735, 1.287
31235, 0.560
31735, 1.425
32235, 0.919
32735, 0.872
33235, 0.962
33735, 0.508
34235, 0.280
34735, 0.360
35235, 0.327
35735, 0.407
36235, 0.234
36735, 0.418
37235, 0.738
37735, 0.390
38235, 0.331
38735, 1.305
39235, 0.604
39735, 0.474
40235, 0.616
40735, 0.720
41235, 0.723
41735, 1.058
42235, 0.772
42735, 0.273
43235, 0.419
43735, 0.366
44235, 0.455
44735, 0.721
45235, 0.606
45735, 0.406
46235, 0.821
46735, 0.500
47235, 0.490
47735, 0.585
48235, 0.472
48735, 0.715
49235, 0.716
49735, 0.958
